city,day_date,without_precipitation,average_temp
Abu Dhabi,2022-05-26,11,34.81818181818182
Al Qahirah,2022-05-26,11,32.54545454545455
Brandenburg,2022-05-26,9,19.272727272727277
Bucharest,2022-05-26,11,27.454545454545453
England,2022-05-26,11,17.363636363636363
Hebei Province,2022-05-26,11,31.818181818181817
Kaliningrad Region,2022-05-26,9,15.363636363636363
Lazio,2022-05-26,11,29.0
Masovian Voivodeship,2022-05-26,11,19.63636363636364
Moscow,2022-05-26,4,17.727272727272727
Novosibirsk Region,2022-05-26,11,24.90909090909091
Republic of Tatarstan,2022-05-26,6,12.545454545454543
Volgograd Region,2022-05-26,11,22.09090909090909
Île-de-France,2022-05-26,9,17.636363636363637
